"Participant","Session","MsgId","Type","Messages","CurrentAction","NextIntents","ResponseNextMsg?","ResponseMsgId","ResponseMessages","ResponseCurrentAction","ResponseNextIntents","App","AppVersion"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","100","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","101","Delete step x","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","101","user","Delete step x","","","y","102","","DO_NOTHING","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","102","bot","","DO_NOTHING","S2R_DESCRIPTION","y","103","I click the button","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","103","user","I click the button","","","y","104","Oops; the terms ""button"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","104","bot","Oops; the terms ""button"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","105","I click the button at the center","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","105","user","I click the button at the center","","","y","106","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","106","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","107","I enter weight","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","107","user","I enter weight","","","y","108","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","108","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","109","no","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","109","user","no","","","y","110"," Ok; then I couldn't recognize this step. Please <b>rephrase the step or provide a another one</b>","PROVIDE_S2R_NO_MATCH","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","110","bot"," Ok; then I couldn't recognize this step. Please <b>rephrase the step or provide a another one</b>","PROVIDE_S2R_NO_MATCH","S2R_DESCRIPTION","y","111","I enter weight","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","111","user","I enter weight","","","y","112","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","112","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","113","yes","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","113","user","yes","","","y","114","It seems that no specific input or value was provided for the step. Please provide an input (e.g.; 5)","SPECIFY_INPUT_S2R","S2R_INPUT","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","114","bot","It seems that no specific input or value was provided for the step. Please provide an input (e.g.; 5)","SPECIFY_INPUT_S2R","S2R_INPUT","y","115","10","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","115","user","10","","","y","116","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","116","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","117","I click set current weight in kg","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","117","user","I click set current weight in kg","","","y","118","Oops; it seems this step refers to multiple actions (e.g.; ""[click; type]""). Please <b>rephrase the step</b> more accurately <b>or provide a different step</b>?","DISAMBIGUATE_S2R","S2R_AMBIGUOUS_SELECTED","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","118","bot","Oops; it seems this step refers to multiple actions (e.g.; ""[click; type]""). Please <b>rephrase the step</b> more accurately <b>or provide a different step</b>?","DISAMBIGUATE_S2R","S2R_AMBIGUOUS_SELECTED","y","119","I clkci ""set current weight in kg""","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","119","user","I clkci ""set current weight in kg""","","","y","120","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","120","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","121","Delete step x","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","121","user","Delete step x","","","y","122","","DO_NOTHING","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","122","bot","","DO_NOTHING","S2R_DESCRIPTION","y","123","I click set current weight in kg","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","123","user","I click set current weight in kg","","","y","124","Oops; it seems this step refers to multiple actions (e.g.; ""[click; type]""). Please <b>rephrase the step</b> more accurately <b>or provide a different step</b>?","DISAMBIGUATE_S2R","S2R_AMBIGUOUS_SELECTED","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","124","bot","Oops; it seems this step refers to multiple actions (e.g.; ""[click; type]""). Please <b>rephrase the step</b> more accurately <b>or provide a different step</b>?","DISAMBIGUATE_S2R","S2R_AMBIGUOUS_SELECTED","y","125","I click the button ""set current weight in kg""","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","125","user","I click the button ""set current weight in kg""","","","y","126","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","126","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","127","I click the item and enter a comment","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","127","user","I click the item and enter a comment","","","y","128","Oops; the terms ""item"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","128","bot","Oops; the terms ""item"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","129","I enter a comment","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","129","user","I enter a comment","","","y","130","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","130","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","131","I long click the dot","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","131","user","I long click the dot","","","y","132","Oops; the terms ""dot"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","132","bot","Oops; the terms ""dot"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","133","I long click the weight","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","133","user","I long click the weight","","","y","134","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","134","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","135","I click the pop-up","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","135","user","I click the pop-up","","","y","136","Oops; the terms ""pop-up"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","136","bot","Oops; the terms ""pop-up"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","137","I click the first in the pop-up","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","137","user","I click the first in the pop-up","","","y","138","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","138","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","139","I click ""add previous comment""","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","139","user","I click ""add previous comment""","","","y","140","Oops; the terms """"add previous comment"""" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","140","bot","Oops; the terms """"add previous comment"""" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","141","I click the item ""add previous comment""","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","141","user","I click the item ""add previous comment""","","","y","142","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","142","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","143","The app crashed","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","143","user","The app crashed","","","y","144","I am sorry; I am not able to understand this step.  Please <b>rephrase and provide the step</b> one more time","PROVIDE_S2R_NO_PARSE","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","144","bot","I am sorry; I am not able to understand this step.  Please <b>rephrase and provide the step</b> one more time","PROVIDE_S2R_NO_PARSE","S2R_DESCRIPTION","y","145","The app stopped","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","145","user","The app stopped","","","y","146","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","146","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","147","I enter weight in tracking","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","147","user","I enter weight in tracking","","","y","148","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","148","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","149","no","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","149","user","no","","","y","150"," Ok; then I couldn't recognize this step. Please <b>rephrase the step or provide a another one</b>","PROVIDE_S2R_NO_MATCH","S2R_DESCRIPTION","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","150","bot"," Ok; then I couldn't recognize this step. Please <b>rephrase the step or provide a another one</b>","PROVIDE_S2R_NO_MATCH","S2R_DESCRIPTION","y","151","This is the last step","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","151","user","This is the last step","","","y","152","Okay; great!. The <b>bug report ID</b> that you need to provide in the survey is:. <b>P12-Droid_Weight-1.5.4-761f4bc0-7001-4634-91b7-5ccd5ae3b665</b>. The button below will take you to the <b>bug report</b> you just issued. Thank you for using BURT","REPORT_SUMMARY","NO_EXPECTED_INTENT","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","152","bot","Okay; great!. The <b>bug report ID</b> that you need to provide in the survey is:. <b>P12-Droid_Weight-1.5.4-761f4bc0-7001-4634-91b7-5ccd5ae3b665</b>. The button below will take you to the <b>bug report</b> you just issued. Thank you for using BURT","REPORT_SUMMARY","NO_EXPECTED_INTENT","y","153","This is the last step","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","153","user","This is the last step","","","y","154","You got it. The conversation will automatically end in a few seconds.","","","Droid_Weight","1.5.4"
"P12","761f4bc0-7001-4634-91b7-5ccd5ae3b665","154","bot","You got it. The conversation will automatically end in a few seconds.","","","","","","","","Droid_Weight","1.5.4"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","1","user","p12","","","y","2","Hi P12; please <b>select the app</b> that is having the problem","SELECT_APP","APP_SELECTED","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","2","bot","Hi P12; please <b>select the app</b> that is having the problem","SELECT_APP","APP_SELECTED","y","3","; selectedValues = 3","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","3","user","; selectedValues = 3","","","y","4","Okay; please tell me the <b>incorrect behavior</b> that you observed on Grow Tracker","CONFIRM_APP","OB_DESCRIPTION","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","4","bot","Okay; please tell me the <b>incorrect behavior</b> that you observed on Grow Tracker","CONFIRM_APP","OB_DESCRIPTION","y","5","It stopped when I add an additive","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","5","user","It stopped when I add an additive","","","y","6","Got it. From the list below; select the screen that is <b>having or triggering</b> the problem.  Please click the ""<b>done</b>"" button after you have selected it","SELECT_OB_SCREEN","OB_SCREEN_SELECTED","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","6","bot","Got it. From the list below; select the screen that is <b>having or triggering</b> the problem.  Please click the ""<b>done</b>"" button after you have selected it","SELECT_OB_SCREEN","OB_SCREEN_SELECTED","y","7","done; selectedValues = 4","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","7","user","done; selectedValues = 4","","","y","8","Got it; please tell me how the app is <b>supposed to work</b>","CONFIRM_SELECTED_OB_SCREEN","EB_DESCRIPTION","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","8","bot","Got it; please tell me how the app is <b>supposed to work</b>","CONFIRM_SELECTED_OB_SCREEN","EB_DESCRIPTION","y","9","It should support adding an additive normally. ","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","9","user","It should support adding an additive normally. ","","","y","10","Okay; this description doesn't seem to match the problematic app screen. Is this the screen that should work fine?","CLARIFY_EB","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","10","bot","Okay; this description doesn't seem to match the problematic app screen. Is this the screen that should work fine?","CLARIFY_EB","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","11","yes","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","11","user","yes","","","y","12","Okay; now I need the steps that you performed and caused the problem. <b>The next steps</b> that you performed <b>after you opened the app</b> might be the following (see the list below). Please <b>select the steps</b> that you actually performed","PREDICT_FIRST_S2R_PATH","S2R_PREDICTED_SELECTED","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","12","bot","Okay; now I need the steps that you performed and caused the problem. <b>The next steps</b> that you performed <b>after you opened the app</b> might be the following (see the list below). Please <b>select the steps</b> that you actually performed","PREDICT_FIRST_S2R_PATH","S2R_PREDICTED_SELECTED","y","13","done; selectedValues = 0","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","13","user","done; selectedValues = 0","","","y","14","Okay; it seems <b>the next steps</b> that you performed might be the following (see the list below). Please <b>select the steps</b> that you actually performed","PREDICT_FIRST_S2R_PATH","S2R_PREDICTED_SELECTED","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","14","bot","Okay; it seems <b>the next steps</b> that you performed might be the following (see the list below). Please <b>select the steps</b> that you actually performed","PREDICT_FIRST_S2R_PATH","S2R_PREDICTED_SELECTED","y","15","none of the above","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","15","user","none of the above","","","y","16","Do you want me to keep <b>suggesting the next steps</b>?. If so; please click the button below; <b>otherwise write the next step</b>","ASK_FOR_NEW_PREDICTION","NEW_PREDICTION_OR_TYPE_S2R","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","16","bot","Do you want me to keep <b>suggesting the next steps</b>?. If so; please click the button below; <b>otherwise write the next step</b>","ASK_FOR_NEW_PREDICTION","NEW_PREDICTION_OR_TYPE_S2R","y","17","next_predictions","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","17","user","next_predictions","","","y","18","Okay then; the <b>next steps</b> that you performed might be the following (see the list below). Please <b>select the steps</b> you actually performed next","PREDICT_NEXT_S2R_PATH","S2R_PREDICTED_SELECTED","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","18","bot","Okay then; the <b>next steps</b> that you performed might be the following (see the list below). Please <b>select the steps</b> you actually performed next","PREDICT_NEXT_S2R_PATH","S2R_PREDICTED_SELECTED","y","19","none of the above","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","19","user","none of the above","","","y","20","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","20","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","21","Click the plus button","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","21","user","Click the plus button","","","y","22","Oops; the terms ""plus button"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","22","bot","Oops; the terms ""plus button"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","23","Click the button with plus in it","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","23","user","Click the button with plus in it","","","y","24","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","24","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","25","I input plant name","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","25","user","I input plant name","","","y","26","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","26","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","27","yes","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","27","user","yes","","","y","28","It seems that no specific input or value was provided for the step. Please provide an input (e.g.; 5)","SPECIFY_INPUT_S2R","S2R_INPUT","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","28","bot","It seems that no specific input or value was provided for the step. Please provide an input (e.g.; 5)","SPECIFY_INPUT_S2R","S2R_INPUT","y","29","aaa","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","29","user","aaa","","","y","30","Okay; it seems <b>the next steps</b> that you performed might be the following (see the list below). Please <b>select the steps</b> that you actually performed","PREDICT_FIRST_S2R_PATH","S2R_PREDICTED_SELECTED","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","30","bot","Okay; it seems <b>the next steps</b> that you performed might be the following (see the list below). Please <b>select the steps</b> that you actually performed","PREDICT_FIRST_S2R_PATH","S2R_PREDICTED_SELECTED","y","31","done; selectedValues = 0","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","31","user","done; selectedValues = 0","","","y","32","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","32","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","33","Tap the ""Navigate up"" image button","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","33","user","Tap the ""Navigate up"" image button","","","y","34","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","34","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","35","yes","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","35","user","yes","","","y","36","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","36","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","37","I click the plant","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","37","user","I click the plant","","","y","38","Oops; it seems this step refers to multiple UI components (e.g.; the ""Plant details"" text view or the ""Plant details"" text view or the ""Plant name"" text view). Please <b>rephrase the step</b> more accurately <b>or provide a different step</b>?","DISAMBIGUATE_S2R","S2R_AMBIGUOUS_SELECTED","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","38","bot","Oops; it seems this step refers to multiple UI components (e.g.; the ""Plant details"" text view or the ""Plant details"" text view or the ""Plant name"" text view). Please <b>rephrase the step</b> more accurately <b>or provide a different step</b>?","DISAMBIGUATE_S2R","S2R_AMBIGUOUS_SELECTED","y","39","I click the Plant Details","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","39","user","I click the Plant Details","","","y","40","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","40","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","41","I tap feed","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","41","user","I tap feed","","","y","42","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","42","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","43","yes","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","43","user","yes","","","y","44","Okay; is this <b>the last step</b> that you performed: ""I tap feed""?","PREDICT_FIRST_S2R_PATH","NO_EXPECTED_INTENT","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","44","bot","Okay; is this <b>the last step</b> that you performed: ""I tap feed""?","PREDICT_FIRST_S2R_PATH","NO_EXPECTED_INTENT","y","45","no","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","45","user","no","","","y","46","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","46","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","47","I tap new additive","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","47","user","I tap new additive","","","y","48","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","48","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","49","yes","","","Grow_Tracker","2.3.1"
"P12","2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004","49","user","yes","","","y","50","Okay; is this <b>the last step</b> that you performed: ""I tap new additive""?","PREDICT_FIRST_S2R_PATH","NO_EXPECTED_INTENT","Grow_Tracker","2.3.1"
